종목명,업종명,시가총액
화천기공,기계·장비,"68,090,000,000"
솔루스첨단소재,전기·전자,"673,384,328,960"
이노션,일반서비스,"670,400,000,000"
유니온,비금속,"67,832,484,555"
미래에셋맵스리츠,부동산,"67,486,783,500"
혜인,유통,"67,377,559,100"
남양유업우,음식료·담배,"67,200,000,000"
F&F홀딩스,기타금융,"667,291,101,020"
신한알파리츠,부동산,"660,333,071,580"
일성건설,건설,"66,342,552,640"
삼성전자,전기·전자,"657,671,773,134,200"
기신정기,기계·장비,"65,700,000,000"
조광페인트,화학,"65,024,000,000"
대양금속,금속,"64,572,974,375"
아이티센씨티에스,IT 서비스,"64,520,431,378"
대구백화점,유통,"64,280,369,340"
덴티움,의료·정밀기기,"636,457,725,000"
CJ4우(전환),기타금융,"634,822,102,400"
금양,화학,"633,275,240,400"
인디에프,섬유·의류,"63,320,254,785"
LX홀딩스,기타금융,"623,976,044,200"
한국단자,전기·전자,"622,072,500,000"
한화솔루션우,화학,"62,580,980,700"
코오롱인더우,화학,"62,553,636,000"
동원금속,운송장비·부품,"62,511,345,421"
오리엔트바이오,제약,"62,256,077,625"
카프로,화학,"618,539,985,360"
한화손해보험,보험,"617,548,860,350"
현대홈쇼핑,유통,"616,800,000,000"
넥센타이어,화학,"612,377,588,790"
DL이앤씨2우(전환),건설,"61,880,164,300"
새론오토모티브,운송장비·부품,"61,824,000,000"
고려산업,음식료·담배,"61,226,288,375"
SG세계물산,유통,"61,132,337,920"
비에이치,전기·전자,"601,076,722,540"
신한글로벌액티브리츠,기타금융,"60,607,863,616"
까뮤이앤씨,건설,"60,587,341,620"
보락,화학,"60,139,600,000"
삼성증권,증권,"6,947,540,000,000"
LS,기타금융,"6,894,750,000,000"
한진칼,기타금융,"6,869,838,509,100"
LG씨엔에스,IT 서비스,"6,782,016,360,000"
코웨이,일반서비스,"6,464,631,056,700"
LG유플러스,통신,"6,275,493,983,000"
한화갤러리아우,유통,"6,186,521,100"
현대오토에버,IT 서비스,"6,170,395,950,000"
노루페인트우,화학,"6,108,631,940"
코리아써키트2우B,전기·전자,"6,026,645,310"
대한해운,운송·창고,"598,050,821,020"
서울식품,음식료·담배,"59,710,048,090"
현대차,운송장비·부품,"59,686,888,789,000"
인팩,운송장비·부품,"59,400,000,000"
유니온머티리얼,비금속,"59,346,000,000"
성안머티리얼스,섬유·의류,"59,290,334,175"
보해양조,음식료·담배,"59,265,174,954"
화승알앤에이,운송장비·부품,"59,260,103,760"
DSR,금속,"59,200,000,000"
세아제강지주,기타금융,"581,902,808,500"
코오롱,기타금융,"580,184,274,700"
미래산업,의료·정밀기기,"58,722,767,400"
SK케미칼우,화학,"58,597,383,300"
상신브레이크,운송장비·부품,"57,650,843,250"
씨아이테크,전기·전자,"57,495,921,122"
두산에너빌리티,기계·장비,"57,330,222,567,000"
현대건설우,건설,"57,164,360,600"
금비,비금속,"57,100,000,000"
SJM,운송장비·부품,"57,035,902,190"
롯데손해보험,보험,"569,467,147,200"
제이알글로벌리츠,부동산,"565,482,240,000"
엠씨넥스,전기·전자,"562,789,086,600"
JW중외제약,제약,"562,355,209,500"
한국쉘석유,화학,"562,250,000,000"
전방,섬유·의류,"56,364,000,000"
조비,화학,"56,076,181,200"
OCI,화학,"556,845,189,000"
풍산홀딩스,기타금융,"555,786,606,600"
바이오노트,제약,"550,082,098,720"
SJM홀딩스,유통,"55,405,169,680"
SB성보,화학,"55,155,100,000"
대신증권우,증권,"548,600,000,000"
아이에스동서,비금속,"544,271,177,280"
애경케미칼,화학,"542,433,105,350"
대유에이텍,운송장비·부품,"54,924,223,500"
영흥,금속,"54,910,221,624"
